,Timestamp,LineId,JourneyPattern,Timeframe,VehicleJourney,Longitude,Latitude,StopId,AtStop,Date
1338723,1359356156000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:55:56
1338755,1359356174000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:56:14
1338787,1359356180000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:56:20
1338826,1359356198000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:56:38
1338859,1359356212000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:56:52
1338902,1359356246000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:57:26
1338930,1359356258000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:57:38
1338954,1359356272000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:57:52
1338995,1359356293000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:58:13
1339037,1359356311000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:58:31
1339073,1359356330000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:58:50
1339108,1359356352000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7236.0,0,2013-01-28 06:59:12
1339148,1359356375000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 06:59:35
1339179,1359356393000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 06:59:53
1339214,1359356411000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:00:11
1339255,1359356436000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:00:36
1339290,1359356452000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:00:52
1339322,1359356471000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:01:11
1339350,1359356491000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:01:31
1339395,1359356514000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:01:54
1339421,1359356530000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:02:10
1339466,1359356553000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:02:33
1339498,1359356573000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:02:53
1339531,1359356592000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:03:12
1339561,1359356610000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:03:30
1339613,1359356637000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:03:57
1339647,1359356653000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:04:13
1339677,1359356670000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:04:30
1339733,1359356694000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:04:54
1339752,1359356710000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:05:10
1339798,1359356731000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:05:31
1339841,1359356752000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:05:52
1339872,1359356770000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:06:10
1339909,1359356791000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:06:31
1339954,1359356813000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:06:53
1339991,1359356833000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:07:13
1340041,1359356861000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:07:41
1340076,1359356871000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:07:51
1340107,1359356890000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:08:10
1340144,1359356914000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:08:34
1340188,1359356940000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:09:00
1340232,1359356961000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:09:21
1340256,1359356979000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:09:39
1340300,1359356994000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:09:54
1340337,1359357010000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:10:10
1340381,1359357037000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:10:37
1340421,1359357052000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:10:52
1340453,1359357070000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:11:10
1340489,1359357095000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:11:35
1340539,1359357113000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:11:53
1340574,1359357131000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:12:11
1340609,1359357155000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:12:35
1340659,1359357172000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:12:52
1340698,1359357190000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:13:10
1340725,1359357209000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:13:29
1340775,1359357233000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:13:53
1340810,1359357250000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:14:10
1340847,1359357272000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:14:32
1340900,1359357299000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:14:59
1340932,1359357323000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:15:23
1341068,1359357392000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:16:32
1341121,1359357417000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:16:57
1341150,1359357437000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:17:17
1341188,1359357450000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:17:30
1341230,1359357482000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:18:02
1341266,1359357491000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:18:11
1341303,1359357510000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:18:30
1341347,1359357533000000,15.0,00151001,2013-01-28,4964,-6.152171,53.40256899999999,7245.0,1,2013-01-28 07:18:53
